filename,psnr_ssim,psnr_edge,ssim_ssim,ssim_edge,mae_ssim,mae_edge,mse_ssim,mse_edge,grad_mae_ssim,grad_mae_edge,d_PSNR,d_SSIM,d_MAE,d_MSE,d_GradMAE
000293.npy,25.793493394074197,25.79020805220308,0.33002076773119715,0.32785359843877704,0.04086127504706383,0.04088699072599411,0.002634211676195264,0.002636205404996872,0.31011954,0.3103444,-0.0032853418711162874,-0.0021671692924201125,2.5715678930282593e-05,1.9937288016080856e-06,0.00022485852
000317.npy,23.495000839600422,23.534443638955963,0.5596098834045424,0.5592267416968504,0.0444490946829319,0.04436570778489113,0.0044719805009663105,0.004431549459695816,0.33308476,0.3301471,0.03944279935554107,-0.00038314170769204736,-8.338689804077148e-05,-4.043104127049446e-05,-0.0029376745
000330.npy,28.059579059262045,28.036833954100672,0.8055370187671185,0.8009117975943089,0.0267527773976326,0.02688656747341156,0.0015632992144674063,0.001571508008055389,0.23740909,0.23815098,-0.022745105161373402,-0.004625221172809613,0.00013379007577896118,8.208793587982655e-06,0.000741899
000337.npy,34.662386009233444,34.83862729906216,0.9046570224101543,0.9105030098939836,0.012681722640991211,0.012389819137752056,0.00034179160138592124,0.00032819900661706924,0.088312924,0.08414692,0.17624128982871667,0.005845987483829251,-0.0002919035032391548,-1.3592594768851995e-05,-0.004166007
000378.npy,21.210633864317927,21.22489041247136,0.6975542683928094,0.6956268352704551,0.058410510420799255,0.05827636271715164,0.007567224092781544,0.007542423903942108,0.47180536,0.4711489,0.014256548153433357,-0.0019274331223543273,-0.00013414770364761353,-2.4800188839435577e-05,-0.00065645576
000379.npy,21.135555936447478,21.16313796536536,0.7133256593381837,0.7129528870880101,0.05754813924431801,0.05728651210665703,0.007699179463088512,0.0076504359021782875,0.45749596,0.45551658,0.02758202891788386,-0.00037277225017362525,-0.0002616271376609802,-4.8743560910224915e-05,-0.0019793808
000391.npy,33.829398610172284,33.81641960322948,0.8823851111125947,0.8818224960378408,0.01265040971338749,0.01265425980091095,0.00041405699448660016,0.00041529626469127834,0.09701978,0.09621559,-0.012979006942806848,-0.0005626150747538583,3.850087523460388e-06,1.2392702046781778e-06,-0.00080418587
000392.npy,29.645971657740144,29.682028356034202,0.8357360384828746,0.8393734862478971,0.020728744566440582,0.020540058612823486,0.0010849328245967627,0.0010759626748040318,0.16476046,0.16168435,0.036056698294057554,0.0036374477650225057,-0.00018868595361709595,-8.970149792730808e-06,-0.0030761063
000397.npy,25.08670720554545,25.118077249972124,0.32931965106842004,0.32863323316976545,0.0441579595208168,0.04408073425292969,0.003099768655374646,0.003077459055930376,0.29388112,0.29290685,0.031370044426672905,-0.0006864178986545899,-7.722526788711548e-05,-2.2309599444270134e-05,-0.0009742677
000400.npy,30.757690537562837,30.88514098740636,0.8902852067350149,0.8976262571263314,0.019026855006814003,0.018648598343133926,0.0008399065118283033,0.0008156163385137916,0.11047888,0.10492006,0.12745044984352205,0.007341050391316495,-0.0003782566636800766,-2.4290173314511776e-05,-0.0055588186
000403.npy,28.15015709014789,28.302538086034275,0.7384568093237696,0.7474431021619404,0.026744065806269646,0.02628619596362114,0.0015310320304706693,0.0014782443176954985,0.1596204,0.15446855,0.15238099588638576,0.008986292838170873,-0.00045786984264850616,-5.27877127751708e-05,-0.005151853
000418.npy,27.928510498482915,28.00763126592536,0.4738247715954572,0.47354960195438006,0.031207703053951263,0.030934210866689682,0.001611198065802455,0.0015821106499060988,0.24209455,0.23973684,0.079120767442447,-0.00027516964107715536,-0.0002734921872615814,-2.9087415896356106e-05,-0.0023577064
000452.npy,31.80679301668132,31.84538339778481,0.8881907478738725,0.896516123920381,0.016461264342069626,0.016228849068284035,0.0006596608436666429,0.0006538252346217632,0.11093957,0.10628007,0.03859038110349289,0.008325376046508515,-0.00023241527378559113,-5.835609044879675e-06,-0.0046594962
000455.npy,23.917929189068037,23.887375171807413,0.40830283133443773,0.4032149944320289,0.04754439741373062,0.04774854704737663,0.004057019017636776,0.004085662309080362,0.39356372,0.39386982,-0.030554017260623567,-0.005087836902408827,0.00020414963364601135,2.864329144358635e-05,0.00030609965
000459.npy,23.555755791025806,23.565529214099993,0.6436048123500664,0.6390227122879093,0.04146511107683182,0.04149404913187027,0.004409856162965298,0.0043999431654810905,0.3380136,0.33786488,0.009773423074186383,-0.004582100062157091,2.893805503845215e-05,-9.912997484207153e-06,-0.00014871359
000466.npy,26.606109968607377,26.617340807324897,0.3429788950484954,0.34210100712873975,0.0369296632707119,0.03688984736800194,0.0021846857853233814,0.0021790433675050735,0.22367005,0.22294386,0.011230838717519731,-0.0008778879197556266,-3.981590270996094e-05,-5.642417818307877e-06,-0.0007261932
